address,amount,decimals,ui_amount_string,owned_percentage
ExiHKVLFjZC9zWaZHKjSFUKkjodRoFVHWqsm177ZUK3W,729013146509727528,5,7290131465097.27528,7.3643167471810138621613711700
AXy462mcfJFzujc5BfdAhUYj4nNPVvfGEmHPAEUvp7pc,382097878358061617,5,3820978783580.61617,3.8598615376506932855875984700
qsWnMAzSGse3acGHciUGwwxjX15pvAxaMgsr3jAcRfg,257900000000000000,5,2579000000000,2.6052442239087123086833213300
2EDT3tK2kj3gCphsWmS6QVDAbcDHg9coDKPYDaxU4spW,251169467916997676,5,2511694679169.97676,2.5372539957851214655488255700
6wRSM7ijqh7rkf3rDN8EPrBzbZt8ZzEtGhGR9CCMMsuR,231810227330039154,5,2318102273300.39154,2.3416915695794882790841131200
MHkJFcEjUz9yNtVYyEbBnU3BGLavoudJT4GJ4uFaFuy,219898456888912400,5,2198984568889.124,2.2213617086323304276405141300
beJvU32WLVeyykT5UnWE3EPsKqnqS7mAW1oUC3Xw4hp,207039211221535251,5,2070392112215.35251,2.0914606791683620220073675100
EVAEnTVXfXixcw9WKSQGZMumtpczyu67Ua4ZqizEwor2,178869203251834682,5,1788692032518.34682,1.8068939845172383329618574100
TShZ6rXNNVqbQW3f7MppXXwyu9YaWf5cVm4XpDrFo2a,178860151440554528,5,1788601514405.54528,1.8068025452808927225106108200
EdVKFriq7dKDMFpH85h1nEc6Tvuqget6t9oDgVwz2X9H,178860144082829381,5,1788601440828.29381,1.8068024709549100147570971100
3XDsS5N9YyuqSFeYXWpWPss3ECGz5zKkxYhMKKiFXZTf,178857550900395481,5,1788575509003.95481,1.8067762752451098615537002700
6HfVRGSQ21x1RvVTxUELoFuhoR9iuULEuRwqF2SQVVhr,128762017672801271,5,1287620176728.01271,1.3007231593675728803799197300
6XDducjQCZaYUY8VqhqdVCcJyDF7C1NLZaTyqi6AeAee,128426310687576999,5,1284263106875.76999,1.2973319275560903598023124300
EWntoh754Pumdv4eVEH56KyTBnSdVUZ63JrPfawfn67S,127455687018336518,5,1274556870183.36518,1.2875269189951060883857577300
Bgf2eN9J1fMqxNGKqcqdv6Ee7uVRisRimGZR2UwNrKgc,127396879843203336,5,1273968798432.03336,1.2869328629526861176025471700
Cyi5huDps3H2aVx11h6ePj4wRiBjf9N1UcXGiDatN4ZD,125010000000000000,5,1250100000000,1.2628211726670342214366110900
Gi7T4ZRaMLRimLrz7jDWfM59u1VapQ4HoEQJumFFXpWw,109358136626157175,5,1093581366261.57175,1.1047097858965326702815486300
4n1fK139SAYjqFTcnPXbtJ3xuJUfQtBgGbEDFYxeJCk1,105119739480803842,5,1051197394808.03842,1.0618945098920233808394544700
4VPeF21EjGAnCWEaepYw2YBm5qzrUdwkJqiAi9g63Quq,100000000000046409,5,1000000000000.46409,1.0101761240441726934762292100
BCZ7LfaLzykvc4TeuHZMQg3H8TGc3RYCgrZqEpWr2c9q,100000000000000000,5,1000000000000,1.0101761240437038808388217600
